[Row 172] Task B: ΔMain-lobe=114.75 dB, HPBW_elev≈15.20°, HPBW_az≈4.12°, SLL=-0.3 dB
[Row 173] Task B: ΔMain-lobe=133.14 dB, HPBW_elev≈20.00°, HPBW_az≈5.50°, SLL=-0.1 dB
[Row 174] Task B: ΔMain-lobe=18.41 dB, HPBW_elev≈5.95°, HPBW_az≈13.38°, SLL=-0.0 dB
[Row 175] Task B: ΔMain-lobe=116.90 dB, HPBW_elev≈17.53°, HPBW_az≈7.55°, SLL=-1.1 dB
[Row 176] Task B: ΔMain-lobe=123.47 dB, HPBW_elev≈10.57°, HPBW_az≈8.58°, SLL=-2.4 dB
[Row 177] Task B: ΔMain-lobe=121.24 dB, HPBW_elev≈20.00°, HPBW_az≈15.68°, SLL=-0.9 dB
[Row 178] Task B: ΔMain-lobe=118.75 dB, HPBW_elev≈20.00°, HPBW_az≈19.12°, SLL=-1.1 dB
[Row 179] Task B: ΔMain-lobe=117.36 dB, HPBW_elev≈20.00°, HPBW_az≈3.65°, SLL=-1.0 dB
[Row 180] Task B: ΔMain-lobe=47.07 dB, HPBW_elev≈1.07°, HPBW_az≈18.40°, SLL=-1.3 dB
[Row 181] Task B: ΔMain-lobe=55.60 dB, HPBW_elev≈20.00°, HPBW_az≈12.68°, SLL=-1.4 dB
[Row 182] Task B: ΔMain-lobe=67.62 dB, HPBW_elev≈20.00°, HPBW_az≈2.45°, SLL=-8.8 dB
[Row 183] Task B: ΔMain-lobe=51.17 dB, HPBW_elev≈4.65°, HPBW_az≈14.57°, SLL=-0.5 dB
[Row 184] Task B: ΔMain-lobe=110.43 dB, HPBW_elev≈20.00°, HPBW_az≈16.05°, SLL=-1.0 dB
[Row 185] Task B: ΔMain-lobe=67.54 dB, HPBW_elev≈14.75°, HPBW_az≈1.22°, SLL=-0.1 dB
[Row 186] Task B: ΔMain-lobe=123.63 dB, HPBW_elev≈16.53°, HPBW_az≈4.47°, SLL=-4.5 dB
[Row 187] Task B: ΔMain-lobe=111.42 dB, HPBW_elev≈15.12°, HPBW_az≈17.55°, SLL=-0.2 dB
[Row 188] Task B: ΔMain-lobe=109.94 dB, HPBW_elev≈1.70°, HPBW_az≈6.15°, SLL=-4.5 dB
[Row 189] Task B: ΔMain-lobe=127.61 dB, HPBW_elev≈17.83°, HPBW_az≈8.45°, SLL=-4.5 dB
[Row 190] Task B: ΔMain-lobe=133.68 dB, HPBW_elev≈20.00°, HPBW_az≈5.70°, SLL=-3.0 dB
[Row 191] Task B: ΔMain-lobe=111.09 dB, HPBW_elev≈6.22°, HPBW_az≈3.95°, SLL=-0.1 dB
[Row 192] Task B: ΔMain-lobe=56.64 dB, HPBW_elev≈18.42°, HPBW_az≈1.68°, SLL=-0.3 dB
[Row 193] Task B: ΔMain-lobe=100.99 dB, HPBW_elev≈20.00°, HPBW_az≈17.60°, SLL=-1.4 dB
[Row 194] Task B: ΔMain-lobe=83.03 dB, HPBW_elev≈13.73°, HPBW_az≈16.88°, SLL=-14.8 dB
[Row 195] Task B: ΔMain-lobe=65.65 dB, HPBW_elev≈14.03°, HPBW_az≈18.65°, SLL=-0.2 dB
[Row 196] Task B: ΔMain-lobe=100.34 dB, HPBW_elev≈4.97°, HPBW_az≈18.25°, SLL=-0.5 dB
[Row 197] Task B: ΔMain-lobe=65.11 dB, HPBW_elev≈14.92°, HPBW_az≈20.00°, SLL=-0.4 dB
[Row 198] Task B: ΔMain-lobe=115.85 dB, HPBW_elev≈14.97°, HPBW_az≈17.03°, SLL=-0.1 dB
[Row 199] Task B: ΔMain-lobe=99.36 dB, HPBW_elev≈4.35°, HPBW_az≈16.82°, SLL=-4.9 dB
[Row 200] Task B: ΔMain-lobe=111.77 dB, HPBW_elev≈7.88°, HPBW_az≈6.35°, SLL=-1.3 dB
[Row 201] Task B: ΔMain-lobe=70.60 dB, HPBW_elev≈17.62°, HPBW_az≈17.43°, SLL=-0.7 dB
[Row 202] Task B: ΔMain-lobe=120.17 dB, HPBW_elev≈8.25°, HPBW_az≈9.22°, SLL=-0.4 dB
[Row 203] Task B: ΔMain-lobe=109.60 dB, HPBW_elev≈16.40°, HPBW_az≈18.72°, SLL=-0.0 dB
[Row 204] Task B: ΔMain-lobe=62.31 dB, HPBW_elev≈5.17°, HPBW_az≈18.78°, SLL=-0.0 dB
[Row 205] Task B: ΔMain-lobe=116.57 dB, HPBW_elev≈6.90°, HPBW_az≈16.10°, SLL=-0.1 dB
[Row 206] Task B: ΔMain-lobe=119.61 dB, HPBW_elev≈7.95°, HPBW_az≈17.75°, SLL=-0.0 dB
[Row 207] Task B: ΔMain-lobe=89.27 dB, HPBW_elev≈20.00°, HPBW_az≈17.32°, SLL=-0.3 dB
[Row 208] Task B: ΔMain-lobe=105.76 dB, HPBW_elev≈8.95°, HPBW_az≈15.62°, SLL=-4.5 dB
[Row 209] Task B: ΔMain-lobe=102.50 dB, HPBW_elev≈6.82°, HPBW_az≈15.45°, SLL=-2.2 dB
[Row 210] Task B: ΔMain-lobe=103.22 dB, HPBW_elev≈2.00°, HPBW_az≈12.70°, SLL=-1.1 dB
[Row 211] Task B: ΔMain-lobe=108.26 dB, HPBW_elev≈19.60°, HPBW_az≈15.28°, SLL=-0.6 dB
